current_date,job_title,employer,workplace,responsibilities,requirements,optional_req,expiration_date
2023-08-25,Programista / Programistka Hurtowni Danych,TAURON Obsługa Klienta sp. z o.o.,Kraków,"
- Projektowanie, budowanie i rozwój oprogramowania w obszarze BI oraz hurtowni danych
- Tworzenie interfejsów: integracja aplikacji biznesowych z BI Publisher/Oracle BI
- Uruchamianie i testowanie stworzonych rozwiązań
- Współpraca z użytkownikami biznesowymi
- Tworzenie dokumentacji technicznej","
- Bardzo dobra znajomość PL SQL/SQL
- Doświadczenie w zakresie optymalizacji (PL/SQL, ETL)
- Znajomość technologii i doświadczenie w pracy z rozwiązaniami firmy Oracle (Oracle Database, Oracle Application Express, Oracle Data Integrator, Oracle Business Intelligence)
- Doświadczenie w tworzeniu aplikacji z wykorzystaniem Oracle APEX
- Wiedza z zakresu hurtowni danych
- Znajomość j. angielskiego umożliwiająca czytanie dokumentacji i uczestnictwo w szkoleniach","
- Znajomość branży energetycznej
- Umiejętność analitycznego myślenia
- Samodzielność w działaniu oraz otwartość na proponowanie ulepszeń
- Doświadczenie w pracy na podobnym stanowisku",08 wrz 2023
2023-08-25,Data Engineer,ITDS Polska Sp. z o.o.,Kraków,"
- Designing, building, testing, and deploying Google Cloud data models and transformations in BigQuery and the Datafusion environment
- Reviewing, refining, and implementing business and technical requirements
- Ensuring your active involvement in refining User Stories, Epics, and Backlogs in Jira to maintain ongoing productivity and priorities
- Managing code artifacts and CI/CD processes using tools like Git, Jenkins, and Google Secrets Manager
- Estimating, committing, and delivering requirements with a focus on scope, quality, and time expectations
- Writing automated unit and regression tests to follow a test-centric development approach
- Delivering non-functional requirements, IT standards, and developer and support tools to ensure secure, compliant, scalable, reliable, and cost-effective applications
- Adhering to consistent logging, monitoring, error handling, and automated recovery practices as per HSBC standards
- Developing procedures and scripts for data migration, back-population, and initialization
- Maintaining a high-quality, up-to-date knowledge base, wiki, and admin pages for the solution","
- 4+ years of experience in database design, development, and administration of Traditional/Cloud Databases & Data Warehouses/Procedures/Products
- 1+ years of experience in developing, refactoring, and optimizing SQL/T-SQL procedures in BigQuery or equivalent Cloud Databases
- Good understanding of GCP Core and Data Products, Architecting, and Designs/Patterns
- Data preparation, wrangling, and refactoring skills, as part of a Data Science pipeline
- Expertise in data visualization and editing for web, dashboard, or other user interfaces
- Strong knowledge of IT methodologies and practices, including Agile/Scrum
- Experience with collaboration tools such as JIRA and Confluence
- BS/MS degree in Computer/Data Science, Engineering, Data, or related field
- Excellent communication and interpersonal skills in English, with the ability to learn rapidly and independently","
- Experience developing BI/MI reports and dashboards in a popular tool like Qlik (VizLib Library, VizLib Collaboration, Mashups, etc.), Tableau, Looker etc.
- Experience in GCP based big data / ETL solutions DevOps / DataOps model
- Experience of deploying and operating Datafusion/CDAP based solutions
- Experience in building and operating CI/CD life-cycle management Git, Jenkins, Groovy, Checkmarx, Nexus, Sonar IQ and etc.
- Expertise of Java, Python, DataFlow
- Broad experience with IT development and collaboration tools.
- An understanding of IT Security and Application Development best practice.
- Understanding of and interest in various investment products and life cycle and the nature of the investment banking business.
- Experience of working with infrastructure teams to deliver the best architecture for applications.
- Working in a global team with different cultures",26 Aug 2023
2023-08-25,Data Engineer,Avanade Poland Sp. z o.o.,Kraków,"
- Finding trends in data sets and developing algorithms to help make raw data more useful to the enterprise.
- Collecting the data from various sources, transforming it into desire formats, and storing it into data stores like Data Lake, Azure Synapse Analytics.
- Implementing complex, large-scale big data projects focusing on collecting, managing, analyzing, and visualizing large datasets.
- Taking part in designing and running bespoke data services for individual projects.
- Staying up to date with leading-edge processes in using, retrieving data, building machine learning models.
- Crafting and use effective metrics and monitoring processes.
- Support deal teams by providing subject knowledge and solutions for client proposals","
- At least three years of commercial experience with at least two of the following platforms \ frameworks:
- Databricks
- Azure Synapse
- Azure Data Factory
- Graphs (Azure Digital Twins, Neo4j)
- One or more years of commercial experience with object-oriented languages (Python and\or C# is strongly preferred, but could be Java/C++ as long as you are willing to learn Python and\or C#)
- SQL Server, Azure Data Lake, CosmosDB
- Git
- Good understanding of batch and streaming typical architectures.","
- Snowflake
- Azure Synapse Analytics
- Delta Lake
- Azure Streaming Analytics
- Azure IoT",23 Sep 2023
2023-08-25,BI Developer,Blue Media S.A.,Cała Polska (praca zdalna),"
- projektowanie, wdrażanie, rozwój i doradztwo w obszarze wdrażania rozwiązań warstwy raportowej Business Intelligence w oparciu o platformę Power BI w ramach środowiska Data Lakehouse,
- identyfikacja i zbieranie wymagań technicznych i wsparcie Analityka Danych w zakresie wymagań biznesowych, przeprowadzanie analizy wykonalności i zarządzanie oczekiwaniami właścicieli produktów,
- wsparcie procesu tworzenia struktur środowiska Data Lakehouse w ramach obszaru Back-End,
- bieżące wsparcie dla użytkowników biznesowych Data Lakehouse,
- administracja nad wdrożonymi rozwiązaniami z zakresu warstwy raportowej,
- szkolenia dla użytkowników biznesowych w zakresie obsługi wdrożonych rozwiązań.","
- min. 3 lata doświadczenia na podobnym stanowisku,
- praktyczną znajomość modelowania danych i koncepcji DWH,
- umiejętność prezentacji danych w sposób klarowny dla odbiorcy,
- łatwość zrozumienia biznesu oraz umiejętność konsolidowania i porządkowania informacji,
- zaawansowaną znajomość narzędzi do przetwarzania, raportowania i wizualizacji danych,
- podstawową znajomość obszarów pokrywanych przez pozostałe role objęte DWH, w tym: integracji danych z różnych systemów, procesów transformacji i czyszczenia danych, automatyzacja tych procesów,
- podstawową znajomość zasad CI/CD oraz DevOps,
- znajomość Power BI, SQL.","
- znajomość: Python, Airbyte, JIRA, AWS, Snowflake.",22 wrz 2023
2023-08-25,Data Engineer,Blue Media S.A.,Cała Polska (praca zdalna),"
- zarządzanie i rozwój Data Lakehouse,
- operacyjne prace nad utrzymaniem rozwiązania i wdrożeniami kolejnych usprawnień/rozbudowy,
- współpraca z Data Ops i BI Developerami,
- integracja systemów i danych,
- budowanie przepływów danych oraz orkiestracja zadań,
- tworzenie strumieniowych potoków danych,
- projektowanie rozwiązań DWH (np. Star schema, Vault 2),
- budowanie procesów ETL lub ELT,
- tworzenie kodu aplikacji masowo przetwarzających dane,
- techniczne testowanie rozwiązań.","
- DWH / Lakehouse (Snowflake, Redshift, Databricks SQL)
- Doświadczenie z AWS
- AWS infrastructure (IAM, EC2)
- AWS data engineering (S3, Glue, EMR, Athena)
- Scala, Java and/or Python
- dbt (ELT)
- Apache Airflow
- Apache Kafka
- Data Integration (Airbyte and Kafka Connect)
- Kafka Streams
- Kubernetes (on premise, EKS)
- Docker
- Docker Compose
- Helm 3
- Flux CD
- Git
- GitLab CI/CD
- Terraform",,22 wrz 2023
2023-08-25,Data Engineer,HEINEKEN Global Shared Services,"aleja Jana Pawła II 43a, Czyżyny, Kraków","
- structuring end-to-end processes of data extraction, transformation, and storage using serverless Azure services to deploy models and analytical solutions
- handling activities such as quality assurance, data migration and integration, and solution deployment to ensure the business gets the best value
- writing and maintaining ETL processes in Python, designing database systems, and developing tools for real-time and offline analytic processing
- Development and Maintenance:
- Implementing, maintaining, and further developing the functionality of Python packages for ETL processes, data lineage, operator inputs, including building logic
- troubleshooting software and processes for data consistency and integrity
- integrating large-scale data from a variety of sources for business partners to generate insights and make informed decisions
- designing and implementing data flows to ensure efficient and reliable data movement
- creating unit and integration tests for Python modules
- participating in mission-critical processes of the data pipeline
- Technical Skills and Collaborative Environment:
- providing technical support in understanding business problems and designing smart data products
- collaborating within an agile culture, contributing to the team's success
- demonstrating excellent software engineering skills, including unit testing, integration testing, OOP, and the ability to write clean, efficient, documented, and scalable code","
- significant commercial experience in a similar position
- strong data analytics skills using Python
- excellent software engineering skills (including unit testing, integration testing, OOP)
- proficiency with Python and/or Scala (ideally both)
- experience working with large datasets through Spark and RDBMS
- solid knowledge of PySpark with the ability to apply it to write Spark applications as well as analyze data in a distributed environment
- very good SQL skills and ability to extract information from databases
- fluency in English for effective communication","
- good working knowledge of Azure services
- experience in building and releasing Infrastructure as Code using tools like Terraform
- familiarity with versioning systems (e.g., Git), DevOps mode of working, and DevOps tools
- understanding of machine learning models, deployment, and monitoring
- strong interest in machine learning and a desire to develop skills in this field
- experience working in agile organizations
- being a team player with a proactive and collaborative approach",24 Sep 2023
2023-08-25,Business Intelligence (Power BI) Developer,CLOUDFIDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Poland (remote work),"
- Translating business requirements into technical solutions.
- Working closely with stakeholders and business users.
- Design and implement modern cloud-based solutions.
- Build and launch new data models.
- Optimize existing data models and reports, elevating the efficiency and impact of our data intelligence.
- Implement best practices in data engineering to maintain data integrity, quality, and documentation - your work will increase data discoverability and understanding.
- Take part in sharing your knowledge and engage in training activities to promote a learning culture.","
- 3+ years of experience in delivering complex BI solutions - it's your time to excel!
- Hands-on experience (2+ years) with Microsoft BI stack (Power BI, SSAS/AAS).
- Mastery of DAX, M, SQL, Microsoft SQL Server, and PostgreSQL and query performance tuning - you make data dance!
- Practical know-how in implementing row-level security (RLS) and Data Lake/Warehouse architectures.
- Python coding experience - you're our code whisperer!
- Familiarity with public cloud architecture, security, networking concepts (MS Azure preferred) - we like our clouds secure and efficient.
- Strong conceptual and analytical skills - you're a whiz at defining and documenting complex requirements.
- Fluent English communication - you can articulate tech in plain language.","
- Experience with Databricks, Azure Synapse, Azure Data Factory, and Azure DevOps - these are your secret weapons!",07 Sep 2023
2023-08-25,ETL Developer,IN4GE sp. z o.o.,Cała Polska (praca zdalna),"
- Integracja danych pomiędzy systemami źródłowymi (SAP, Oracle, MS SQL) a aplikacjami do automatyzacji podatków i przesyłania e-faktur","
- Minimum 3-letnie doświadczenie na stanowisku Database/ETL Developera
- Doświadczenie w pracy z ETL – Talend/ Informatica Power Center/ SSIS
- Bardzo dobra znajomość języka SQL i baz danych (np. Oracle, MS SQL Server) - warunek konieczny
- Doświadczenie we wdrażaniu rozwiązań Business Intelligence
- Bardzo dobra znajomość języka angielskiego (min. B2/C1)
- Bardzo dobra znajomość języka polskiego","
- Doświadczenie w obszarze finansów / podatków
- Doświadczenie w pracy z systemem SAP
- Umiejętność programowania w C# lub Java",07 wrz 2023
2023-08-25,Cloud Developer / Full-stack,Acxiom Global Service Center Polska sp. z o. o,Poland (remote work),"
- Understands requirements to build, enhance, or integrate programs and processes for one or more Acxiom Client solutions and/or applications. Able to read and interpret application design and functional specifications to write application code
- Provides input on functional requirements and participates/ presents review code in code review sessions. Helps accurately estimate requirements in order to deliver client solutions within time, and quality standards
- Utilizes standard/ Acxiom methodologies to ensure overall solution and data integrity is maintained
- Understands Acxiom solution software. Defines solutions standards, policies and procedures
- Identifies and diagnoses areas of maintenance and process improvement
- Responds to client/stakeholder problems in a timely manner, prioritizing multiple issue response based on the severity of the case
- Using a relevant software language, develops/ executes unit test cases and tests software applications that fulfill functional specifications using an IDE. Documents and interpret test results and correct application coding errors
- Completes application development task for duration (Level of Effort >20hours and <=160 hour task) programming requirements with limited or no assistance from peers
- Balance multiple small projects and works on larger projects with minimal guidance from more experienced developers to meet due dates and deadlines
- Maintains Develops subject matter expertise in Acxiom technologies, verticals and lines of business in order to help align client business needs to products, solutions and services offered
- Documents and shares best practices and case studies","
- AWS knowledge (data transformation, frontend)
- API calls
- Python (for cloud solutions)
- Javascript (local side, basic knowledge)
- Frontend basic dev skills","
- Full-Stack Dev experience
- Backend dev skills
- GCP or Salesforce knowledge
- React (basic)
- ETL experience
- SQL knowledge",22 Sep 2023
2023-08-25,Oracle PL/SQL Developer,ProSequentia Sp. z o.o.,Cała Polska (praca zdalna),"
- projektowanie oraz implementacja rozwiązań w zakresie rozwoju i utrzymania systemów informatycznych
- współpraca z członkami zespołów biznesowych w zakresie identyfikacji i analizy wymagań
- modelowanie struktur i procedur bazodanowych
- udział w testach realizowanych rozwiązań
- dokumentacja wykonywanych prac","
- bardzo dobra znajomość SQL, PL/SQL (min. 4 lata doświadczenia)
- praktyczna znajomość baz danych
- doświadczenie w zbieraniu i analizie wymagań dla nowych rozwiązań i zmian w systemach
- doświadczenie w pracy w dużych środowiskach informatycznych
- znajomość i doświadczenie w pracy z metodykami zwinnymi
- wykształcenie informatyczne, techniczne, lub z dziedziny nauk ścisłych (wyższe lub ostatni rok studiów)","
- dobra znajomość Oracle APEX
- doświadczenie w ubezpieczeniach",26 sie 2023
2023-08-25,Process Data Engineer,Shell,"Czerwone Maki 85, Dębniki, Kraków","
- Analyze & process a broad range of petrophysical data.
- Ontime & quality delivery of subsurface data requirements using various industry standard (including Shell proprietary) applications & databases.
- Awareness of petrophysical data usage in related O&G workflows.
- Driving data quality improvement through interaction with asset data analysts/consultants.
- Ability to multi-task, prioritize and ensure delivery of priorities, and work independently according to established KPI.
- Active participation in the technical sessions and providing solutions to the issues shared in the forums.
- To identify & implement any improvement opportunities to ensure benefits in service/project delivery.
- Perform the relevant QA/QC checks of raw and processed data.","
- Bachelor's or master’s degree in geophysics, geology, physics, or a related technical discipline.
- 2 to 5 years of experience in the oil & gas industry and must have at least one or more working proficiency in well logging, core sampling, petrophysical modeling, petrophysical evaluation, etc.
- Must have exposure to petrophysical data in different avenues of oil and gas exploration & production.
- Knowledge of E&P is essential and a basic understanding of other low-carbon energies is an advantage. Deepwater exposure is not required but will be considered as an advantage.
- Hand-on experience in E&P standard petrophysics application suites (Techlog, Recall, etc.).
- Digital skills: experience in Python, Linux, SQL, and PowerBI will be an advantage.
- Should have a strong learner’s mindset and be a reliable team player.
- Strong interpersonal skills, willingness to challenge self, and to be confident in building internal and external relationships.
- Contributing to process improvement initiatives.",,22 Sep 2023
2023-08-25,Machine Learning Engineer,ROBOTEC.AI sp. z o.o.,Poland (remote work),"
- Develop and test Machine Learning tools for evaluation, data generation and model training.
- Automate ML pipelines.
- Work with perception layer of the AV/ADAS stack including LiDAR, camera, radar, ultrasonic, IMU and GPS sensors.
- Develop perception algorithms for autonomous driving systems (object detection, classification and tracking).
- Work with synthetic datasets based on simulation engines.
- Develop algorithms and software to explore the rich world of autonomous vehicles operating conditions.
- Work with time series data from connected and automated vehicles.
- Develop novel detection anomalies solutions.","
- University degree in Computer Science, Machine Learning, Computer Vision or related field (last year students are also welcome).
- Good understanding of Machine Learning and Deep Learning concepts.
- Solid software engineering skills in Python.
- Practical experience with ML / Data Science related frameworks and libraries such as PyTorch, Tensorflow, Numpy, Pandas and Matplotlib.
- Familiarity with collaboration tools and methods such as git or CI.
- Excellent communication and teamwork skills.
- At least C1 level of English in both writing and speaking in order to communicate with foreign clients.","
- Experience with cloud infrastructure, especially on AWS.
- Familiarity with robotics, sensors and simulations based on game engines (Unity3D, Unreal Engine).
- Experience with (3D) Object Detection, time series datasets and anomaly detection methods.
- Programing skills in strongly typed languages (e.g. C++, Go).",30 Aug 2023
2023-08-25,Big Data Developer,SORIGO Sp. z o.o.,Cała Polska (praca zdalna),,"
- posiadasz przynajmniej rok doświadczenia w pracy z technologiami Big Data, jak Apache Spark oraz Java, Scala lub Python,
- masz doświadczenie w pracy z narzędziami: Spark, Airflow, Kafka, Hadoop ecosystem (HDFS, YARN), NiFi, Zeppelin, Hive, HBase, Gitlab, Docker, Oracle, Azure,
- sprawne poruszasz się w środowisku Linux,
- masz wiedzę i rozumiesz zagadnienia dotycząca integracji danych (narzędzia, metody, jakość danych),
- znasz język angielski w stopniu komunikatywnym.",,06 wrz 2023
2023-08-25,SQL Developer,SORIGO Sp. z o.o.,Cała Polska (praca zdalna),,"
- posiadasz przynajmniej rok doświadczenia w pracy z technologiami SQL (PL/SQL, Oracle, T-SQL, MS SQL)
- masz doświadczenie w pracy z DWH i procesami ETL
- masz wiedzę i rozumiesz zagadnienia dotycząca optymalizacji procesów i zapytań SQL
- masz umiejętność dekompozycji procesów","
- masz doświadczenie w pracy z Python lub JavaScript
- pracowałeś na środowiskach chmurowych: GCP",06 wrz 2023
2023-08-25,Senior Software Engineer - SQL,BCF Software Sp. z o.o.,Poland (remote work),"
- Work with our Project Manager (PM) and Technical Lead (TL) to apply your technical expertise to deliver systems and updates to them
- Participate in the planning sessions
- Provide time estimates for your work
- Implement technical solutions suggested by the Technical Lead
- Develop and extend existing PowerShell scripts that interact with XML-based APIs
- Build or adapt SQL queries or stored procedures in support of the implementation
- Review pull requests
- Evangelise clean code and best practices inside the team","
- A minimum of 6 years working as a developer within the Windows ecosystem (e.g. .NET, C#, MS SQL Server, etc)
- A minimum of 6 month working with PowerShell scripts
- Have contributed to enterprise applications before
- Ideally have worked with XML-based APIs before
- Fluent with Git (we are power users of Github)
- You have worked in a team with a formal planning methodology (Scrum or something else) for 5+ years","
- You are capable of routinely delivering at least one PR to production each work day
- You are fluent in English (B2)
- You are comfortable with finding the needle in the haystack within feature-rich systems
- It's easy to interact with you: you speak your mind, and you communicate clearly
- You ask questions to clarify the requirements",22 Sep 2023
2023-08-25,MS SQL Developer,PEOPLE TRUST SP. Z O.O.,Cała Polska (praca zdalna),,"
- Bardzo dobra znajomość relacyjnych bazy danych
- Oracle SQL","
- Znajomość technologii C#
- Znajomość technologii REST",21 wrz 2023
2023-08-25,.Net Developer,Novaris Sp. z o.o.,Cała Polska (praca zdalna),"
- prowadzenie prac projektowych i implementacyjnych w systemach informatycznych opartych o technologie Oracle
- współpraca z użytkownikami końcowymi (biznesowymi) przy zbieraniu i analizie wymagań dotyczących danych umieszczonych w nowym rozwiązaniu; w szczególności konieczność uszczegółowienia ogólnych zadań i koncepcji biznesowych
- czynny udział w testach wewnętrznych oprogramowania
- tworzenie i aktualizacja dokumentacji technicznej i funkcjonalnej systemu
- współpraca w opracowywaniu nowych rozwiązań i obieraniu kierunków rozwojowych
- wdrażanie działań dot. poprawy jakości danych w systemach oraz aplikacjach eksportujących dane do hurtowni danych
- wsparcie w opiniowaniu specyfikacji technicznej oraz dokumentacji projektowej, technicznej i administracyjnej przygotowanej przez zespół ze strony trzeciej","
- minimum 3-letnie doświadczenie programistyczne w realizacji projektów informatycznych w technologiach: C#, .NET (w tym w wersji 4.5), WCF, SQL, SQL Server Integration Services, HTML, MVC.NET
- znajomość Javascript, jQuery, jQuery UI, HTML (w tym w wersji 5.0)/CSS (w tym w wersji 3.0)
- znajomość środowiska Visual Studio Ultimate 2013
- znajomość testowania modułowego oraz procesu automatyzacji testów
- doświadczenie w tworzeniu aplikacji webowych
- znajomości wzorców projektowych oraz zasad OOP
- praktyczne doświadczenie z zakresu projektowania i programowania systemów informacyjnych dla instytucji finansowych lub instytucji podobnych odnośnie charakteru prowadzonej działalności, wielkości, złożoności i jakości rozwiązań informatycznych
- znajomość zagadnień związanych z analizą wymagań biznesowych oraz systemowych dla systemów informatycznych
- umiejętność współpracy z klientem biznesowym oraz wewnętrznym i dostawcą zewnętrznym
- znajomość języka angielskiego umożliwiającej swobodną pracę z dokumentacją oraz literaturą techniczną","
- znajomość podstaw UX design
- znajomość metodologii AGILE, XP
- znajomość języka PL/SQL oraz bazy danych Oracle
- praktyczna znajomość przynajmniej jednego narzędzia typu CASE, np. Sparx Systems Enterprise Architect oraz języka UML
- doświadczenie w pracy w strukturze macierzowej
- znajomość ITIL",02 wrz 2023
2023-08-25,Data Engineer,KZ INSPIRE,Kraków,"
- Budowanie rozwiązań i infrastruktury mających na celu rozwiązywanie problemów biznesowych klientów
- Pomoc w optymalizacji, testowaniu i opracowaniu narzędzi w celu poprawy jakości danych.
- Współpracę z innymi inżynierami oprogramowania, ekspertami ML i interesariuszami, wykorzystując możliwości uczenia się i przywództwa, które będą pojawiać się każdego dnia.
- Pracę w wielofunkcyjnych zwinnych zespołach, aby stale eksperymentować, iterować i realizować nowe cele produktowe.","
- Minimum 3-letnie doświadczenie i znajomość jednego z języków programowania Python, Java, C# lub C++.
- Bardzo dobra znajomość języka angielskiego, praca w środowisku międzynarodowym oraz komunikacja z klientem w języku angielskim.
- Umiejętność pisania usług rozproszonych i pracy z dużą ilością danych, najlepiej z systemami rozproszonymi, takimi jak Spark.
- Wiedza na temat zarządzania danymi, dostępu do danych i technik przechowywania danych.
- Wysokie umiejętności w zakresie kontaktu z klientami: wygodna interakcja z klientami (odbiorcami biznesowymi i technicznymi), dostarczanie prezentacji, nastawienie na rozwiązywanie problemów.
- Gotowość do podróży, aby spotkać się z klientami i zespołem (głównie w Europie i poza nią - do 10% Twojego czasu).",,02 wrz 2023
2023-08-25,Data Engineer,Addepto,Poland (remote work),"
- Design and construction of scalable data processing architecture
- Using Big Data and BI technologies (e.g. Spark, Kafka, Hadoop, SQL)
- Building an application that will aggregate, process, and analyze data from various sources
- Cooperation with the Data Science department in the field of Machine Learning projects (including text/image analysis, building predictive models)
- Manage distributed database systems like ClickHouse, BQ, Teradata, Oracle Exadata, PostgreSQL + Citus
- Modeling, Star and Snowflake schema
- Develop and organize data transformations in DBT and Apache Airflow
- Translate requirements from the business and translate them into technical code
- Ensure the best possible performance and quality in the packages
- Manage business user’s expectations","
- Higher education in technical and mathematical studies (or the last year of studies)
- Commercial experience in the implementation, development, or maintenance of Business Intelligence or Big Data systems
- Knowledge of Python (or Java/Scala)
- Experience in SQL
- Hands-on experience with Big Data technologies (Spark, Hadoop, Databricks)
- Good command of the English language (min. B2+)
- Experience with cloud services (AWS, Azure or GCP)
- Independence and responsibility for delivering a solution
- Excellent knowledge in Dimensional Data
- Good communication and soft skills
- Lead discussions, requirement sessions, should be able to comprehend, summarize and finalize the requirements
- Familiarity with NiFi, Docker, Kafka, Airflow, Splunk",,02 Sep 2023
2023-08-25,Data Engineer (GCP),GETINDATA POLAND sp. z o.o.,Poland (remote work),"
- Development and committing of new functionalities and open-source tools
- R&D, maintenance, and monitoring of the platform's components
- Implementing and executing policies aligned to the strategic plans of the company concerning used technologies, work organization, etc.
- Creating and propagating standards of work in projects
- Undertaking work that requires the application of fundamental principles in a wide and often unpredictable range of contexts
- Contributing to the organization's knowledge database","
- Strong programming skills in Python and SQL
- Knowledge of the BigQuery DWH platform
- Working with Spark messaging systems
- Experience working with Cloud Composer for orchestration tools
- Experience working with GCP cloud
- Familiarity with DevOps area and tools - GKE, Docker
- Fundamental knowledge of data engineering, building data platforms, and solutions
- Understanding complexity and relationships between businesses, suppliers, partners, competitors, and clients",,02 Sep 2023
